,job_title,cluster
14,Senior Business Analyst,2
22,Senior Sales Executive,2
30,Business Analyst,2
40,Business Systems Analyst,2
63,Vendedor Externo,2
64,Head De Vendas,2
86,Sales Executive,2
92,Regional Sales Manager,2
94,Sales Associate,2
112,Junior Sales Development Representative,2
133,Lead Business Analyst,2
142,Sales Development Representative (SDR),2
146,Sales,2
154,Sr. Business Analyst,2
162,Inside Sales Manager,2
194,Business Development Representative,2
206,Business Development Analyst,2
207,Business Operations,2
243,Sales Territory Manager,2
256,Business Development Manager,2
271,Business Development,2
286,Sales Manager,2
304,Business Development Representative (BDR),2
320,Business Process Analyst,2
329,HR-Manager und HR Business Partner,2
334,Business Operations Manager,2
342,Business Unit Controller,2
353,Senior Sales Representative,2
354,Fixed Income Sales,2
359,Ventas,2
364,Sales and Business Development Representative,2
368,Inside Sales Specialist,2
370,Analista de Incentivo de Vendas,2
384,Senior Sales Executive (SSE),2
391,Asesor De Ventas,2
406,Sr. Business Systems Analyst,2
429,Sales Exexutive,2
441,Graduate Business Management,2
451,Inside Sales Representative,2
479,Business Operations Analyst,2
500,Sales Leader,2
505,Associate Lead Business Analyst,2
539,Sales Representative,2
544,Vendedor,2
553,Estagiário Business Intelligence,2
556,Senior Sales Development Representative (SDR),2
557,"Manager, Sales Operations",2
574,Associate Sales Executive,2
579,VP Business Development,2
582,Territory Sales Executive,2
603,Lead Sales Operations Analyst,2
616,Senior Business Development Manager,2
625,Business Application Consultant,2
641,Field Sales Representative,2
646,Sales Associate Executive,2
649,Sales Operations Manager,2
655,Business Intelligence Analyst,2
656,Business Technology Intern,2
676,Sr. Business Intelligence Analyst,2
689,Inside Sales,2
699,Sales and Trading,2
706,Busineess Analyst 7,2
710,Print Inside Sales,2
723,Sales Operations,2
729,Senior Business Operations Analyst,2
736,Senior Business Systems Analyst,2
743,Business Support,2
781,Analista De Pós-Venda,2
790,Business Strategy Director,2
797,Representante De Vendas Internas,2
805,Global Business Manager,2
815,Diretor Executivo De Vendas,2
824,Vendedor Viajante,2
853,Sales Development Associate,2
881,Vendedor Comercial Externo,2
902,Business Process Manager,2
912,Executivo De Vendas,2
936,Business Ana,2
947,Business Support Representative,2
952,Core Sales,2
967,Tax and Accounting Sales,2
978,Principal Business Systems Analyst,2
996,Head of Business Development,2
1008,Business Technology,2
1017,GLobal Business Consultant,2
1031,Sales Manager APAC - Singapore Based,2
1035,Business Technology/Support,2
1037,Business Consultant,2
1062,Human Resources Business Partner,2
1063,Sales Graduate,2
1064,Senior Sales Leader,2
1065,Corporate Sales,2
1077,"Sales, Business Development Manager",2
1082,Business Director,2
1107,Regional Sales Manager UK & Ireland,2
1108,Inside Sales Account Executive,2
1115,Regional Sales Executive,2
1136,Sales Grauate,2
1152,Inside Sales TREWS,2
1182,Business Technology Internship,2
1198,Global Sales Manager,2
1200,"Vice President, Business Development",2
1213,IT Business Analyst,2
1225,Business Finance Manager,2
1256,New Business Account Manager,2
1259,Client Sales Representative,2
1262,Sales Account Executive,2
1267,Atendente De Vendas,2
1285,Business Intern,2
1291,Senior Sales,2
1297,AREA SALES MANAGER,2
1303,International Sales,2
1318,Consultor De Vendas,2
1325,Senior International Tax Business Analyst,2
1346,Sales Incentives Analyst,2
1358,Sales Development Representative,2
1371,Sales Account Manager,2
1372,"Director, Business Systems",2
1389,Business Development Consultant,2
1395,Senior Business Intelligence Analyst,2
1423,Business Development Executive,2
1454,Inside Sales Account Manager,2
1455,Finance Sales Commissions Manager,2
1456,Sales BDM,2
1479,Sales Internship,2
1484,Lead Sales,2
1524,Senior Analyst Business Systems,2
1527,Manager - Sales Operations,2
1552,Territory Sales Representative,2
1553,Sales Assistant,2
1577,Business Operations Consultant,2
1583,Business Agility Coach,2
1585,Business Graduate Program,2
1604,Strategic Sales Executive,2
1620,Business Analyst - Team Manager,2
1631,National Sales Manager,2
1637,Business Analyst Manager,2
1638,Senior Business Developer,2
1646,Subscription Sales,2
1650,Field Sales Leader,2
1665,Business Data Analyst,2
1716,Corporate Risk Sales,2
1726,Busineess Analyst,2
1732,Business Tax Support,2
1735,Business Technology Analyst,2
1737,HR Business Partner,2
1739,Business Process Specialist,2
1752,Vendas,2
1783,Vendor Manager,2
1864,Corporate Sales Trainer,2
1877,Sales Support Coordinator,2
1895,Sales Controller,2
1905,Business Analysis Sr Analyst,2
1915,Analista De Vendas Sênior,2
1919,Executivo De Vendas Pleno,2
1933,Business Unit Head of Human Resources,2
1939,Sales Trainee,2
1946,New Business Manager,2
1951,Ejecutivo De Ventas,2
1966,Retail Sales Associate,2
1978,Executivo De Vendas Sênior,2
1981,Consultora De Vendas,2
2014,Sales Especialist,2
2016,Associate Business Analyst,2
2044,Representante De Vendas,2
2061,Sales Supervisor,2
2071,Sales Analyst,2
2077,Human Resources Business Partner HRBP,2
2080,District Sales Leader,2
2087,Senior Sales Manager,2
2093,Business Development Intern,2
2115,Lead Business Systems Analyst,2
2147,Sales Manager Telesales,2
2148,Business Unit Controller Senior,2
2151,Part-Time Sales Associate,2
2159,Vendedor Comercial,2
2177,Finance Business Partner,2
2179,Analista De Pós Vendas,2
2183,Business Analyst Senior,2
2187,Business Manager,2
2192,Business Development Specialist,2
2220,Sr Business Analyst,2
2274,Sales Trainer,2
2283,Gerente De Vendas,2
2312,Associate Business Process Analyst,2
2317,Sales - Legal Division Australia,2
2318,Senior Global Business Development,2
2330,Inside Sales Representative II,2
2331,Business Partner,2
2332,Ejecutivo Comercial De Ventas,2
2359,Especialista De Vendas,2
2372,Sales Operations Analyst,2
2374,Ejecutiva De Ventas,2
2437,Business Executive,2
2454,Vendedor/Consultor,2
2460,Business Controller,2
2461,Consultor De Pré-Vendas,2
2463,CDC - Sales Representative,2
2466,Head of Media Business,2
2473,Sales Administrative Assistant,2
2489,Inside Sales Representative Intern,2
2490,Business/Technology Intern,2
2503,Sales Account,2
2518,"Senior Account Manager, Sales",2
2528,Business Development Associate,2
2538,Vendedor Pleno,2
2555,Business Development Manager (UAE),2
2561,Sales Associate/Key Holder,2
2586,OUTSIDE SALES,2
2595,Marketing & Business Development Specialist,2
2602,Senior Business Analyst/Product Manager,2
2603,F&R Sales,2
2606,Senior Business Analyst/Project Manager,2
2610,"Sales Associate, Tax & Accounting",2
2627,Business Analytics Manager,2
2628,Sales Support,2
2639,MyPay Solutions Sales,2
2653,Inside Sales (Print),2
2661,Territory Sales Manager,2
2675,Integration Project Manager- Business Analyst- AP Manager,2
2689,Inside Sales Print,2
2697,New Business Analyst,2
2714,Assistente De Vendas,2
2745,Business Process Consultant,2
2756,Law Firm Sales Representative,2
2757,Business Development Inside Sales,2
2762,International Business Development Manager,2
2771,North American Sales Manager,2
2793,Senior Sales Analyst,2
2816,Sales - Legal Division,2
2828,Director of Business Development,2
2837,Sales Representatives,2
2855,Trainee Sales Support,2
2858,"Director, Financial & Risk Business",2
2868,Account Sales,2
2888,Inside Sales Fit Representative,2
2890,Quickfinder and CPE Inside Sales Representative,2
2904,Business,2
2919,Mobile Strategy and Business Innovation,2
2937,Outbound Sales,2
2957,Business Operations Specialist,2
2973,Westlaw Sales,2
2983,Interviewing for Sales Graduate Program,2
2987,Territory Sales,2
3011,West Publishing Inside Sales,2
3019,Business Legal Researcher,2
3023,Business Analyst Intern,2
3027,Project Manager/Business Analyst,2
3029,Legal Research Sales,2
3032,Outside Sales Representative,2
3033,WestLaw Sales Representative,2
