,job_title,cluster
1508,"Manager, Financial Planning and Analysis",5
1521,Community Manager,5
1523,Proposition Management,5
1526,"Manager, Operations",5
1530,Regional Manager,5
1606,SIAM Manager,5
1612,Collections Manager,5
1615,General Manager,5
1624,"Senior Manager, FP&amp;A",5
1629,Manager Asset Management,5
1630,"Senior Manager, Operations",5
1636,Senior Director Product Management,5
1656,Conference Manager,5
1659,Solution Consulting Manager,5
1676,Client Services Manager (CSM),5
1682,Sponsorship Manager,5
1697,Service Delivery Manager,5
1704,Learning and Development Manager,5
1705,Senior Development Manager,5
1706,Enablement Manager,5
1728,National Account Manager,5
1741,Senior Operations Manager,5
1746,"Communications, Finance and Administration Manager",5
1757,Release Manager,5
1763,Management Trainee,5
1774,Office Manager,5
1781,Accounting/Tax/Finance Manager,5
1790,IT Project Manager,5
1792,Senior Order Management Specialist,5
1816,Creative Manager,5
1845,Senior Operations Project Manager,5
1854,"Manager, SRE",5
1865,Consulting Account Manager,5
1879,Alliance Manager,5
1887,C & B Manager,5
1889,Gerente De Qualidade,5
1922,ECommerce Manager,5
1931,CRM Manager,5
1935,Project Specialist,5
1936,Account Manager SMB,5
1937,Campaign Management Specialist,5
1959,Project Development Officer,5
1977,Gerente De Suporte,5
1982,Head of Product Management,5
2004,User Experience Manager,5
2005,C2C Operational Senior Manager,5
2017,Gerente Customer Experience,5
2023,Channel Manager,5
2031,Gerente De Desenvolvimento De Software,5
2034,Senior Project Director,5
2047,"Senior Director, Program Management",5
2050,IT Senior Project Manager,5
2052,Media Manager,5
2058,Corporate Finance Manager,5
2067,Event Manager,5
2072,"Manager, GRC",5
2074,Senior IT Manager,5
2081,Compliance Manager,5
2104,Credit and Collections Manager,5
2119,Senior Key Account Manager,5
2123,IT Project Manager/Scrum Master,5
2126,GTM Project Manager,5
2132,Cash Applications Manager,5
2134,Executive Management,5
2136,Support Manager,5
2155,Manager - Process Excellence,5
2190,Media Account Manager,5
2210,Planning and Projects Sr Manager,5
2218,Gerente sr,5
2227,Territory Manager,5
2234,Gerente De Conteúdo,5
2239,Procurement Manager,5
2242,Acc Manager,5
2250,Lead Identity and Access Management Analyst,5
2268,Project Management Office (PMO),5
2275,"Manager, Account Management",5
2278,Cash Management Representative,5
2288,TA Manager,5
2299,Key Account Manager KAM,5
2313,Team Lead/Project Manager,5
2314,Order Processing Manager,5
2322,Senior Proposition Manager,5
2335,Partnership Manager,5
2348,Sales &amp; Account Management,5
2349,Gerente De Projetos (GP),5
2351,"Vice President, Program Management",5
2360,Department Manager,5
2366,Agency Manager,5
2367,IT Consultant/Project Manager,5
2395,Manager Procurement,5
2425,Regional Payroll Manager,5
2432,Gerente De Proyectos Senior,5
2470,"Director, Project Management",5
2476,Lead Account Manager,5
2486,Project Leader,5
2505,"Manager, Service Governance",5
2514,Client Service Manager,5
2523,Management Systems Architect,5
2532,Planning Engineer (Project Coordinator),5
2535,Organization Authority Assistant Manager,5
2566,Frontline Management,5
2573,Product Management Intern,5
2579,Intern Project,5
2584,Second Level Support Management Systems F&R,5
2589,Senior Project Analyst,5
2596,"Director, Contract Management",5
2622,Gerente De Projetos (GP) Júnior,5
2629,Project Manager & Senior Unix Systems Administrator,5
2630,Consulting Manager,5
2637,Research Manager,5
2646,Site Project Manager,5
2659,Global Service Desk Team Manager,5
2664,Data Manager,5
2672,Various Middle and Senior Management Roles,5
2695,"Contracts, Sourcing & Project Management",5
2701,"Senior Manager, Asia Pacific",5
2712,Senior Project Network Engineer,5
2715,Regional Account Manager,5
2726,IT Management,5
2727,Inside Account Manager,5
2733,Recruitment Manager,5
2741,Account Manager Pleno,5
2766,Management,5
2767,Central I T Manager,5
2770,Transfer Pricing Manager,5
2772,Wealt Management,5
2774,Management Associate,5
2777,Risk Management Consultant,5
2783,Manager Analytics,5
2784,Change Manager,5
2788,Client Implementation Manager,5
2789,Technical Project Executive,5
2805,Service Manager,5
2808,Implementation Manager,5
2809,Project Director,5
2832,Head of Service Management,5
2850,Regional Field Manager,5
2854,Project Management Analyst Intern,5
2856,Process Coordination Manager,5
2871,Help Desk Manager,5
2872,Order Management/Fulfillment,5
2881,Sales Account Management,5
2883,Infrastructure Service Manager,5
2887,Mid-senior Manager,5
2894,Shift Operations Manager,5
2895,"Manager, Crisis Counselor",5
2898,"Manager, Property Tax Services",5
2903,Distribution Manager,5
2917,ITIL Problem Management,5
2918,Network Management Specialist,5
2924,"Manager, Mobile",5
2930,ONESOURCE Client Service Manager,5
2933,Contributions Relationship Manager,5
2939,Learning Management Systems,5
2943,Regional Support Manager,5
2945,Website Project Manager,5
2949,Project Specialist Intern,5
2950,Regional Manager for MEA,5
2954,Senior Devemopment Manager,5
2955,Learning Manager,5
2956,IT Senior Manager,5
2962,Assistant Manager Engagements,5
2968,Order Management Specialist - II,5
2971,Analytic Consulting Manager,5
2974,Vice President Product Management,5
2975,Tools and Access Coordination Manager,5
2980,Regional Operations Manager,5
2988,Wealth Management Intern,5
2996,Clinical Project Manager,5
2997,Management Level,5
2998,Operations Program Manager,5
3020,Data Management Consultant,5
3024,Senior Accounts Manager,5
3031,Relationship Management/Account Management,5
3037,Sales and Account Management,5
3046,Data Management,5
3052,Major Account Manager,5
