,job_title,cluster
11,Campaign Manager,5
15,Gerente,5
20,Project Manager,5
25,Sourcing Manager,5
107,Senior Project Manager,5
114,Senior Manager,5
149,Team Manager,5
150,Order Management Associate,5
170,Assistant Manager,5
175,Tax Manager,5
184,Gerente De Desenvolvimento,5
193,Commerical Manager,5
196,"Director, Network Management",5
201,Delivery Program Manager,5
224,Manager,5
233,Order Management Specialist,5
238,Gerente De Projetos,5
239,Finance Manager,5
242,Account Manager,5
248,CustomerSuccess Manager,5
264,Gerente De Projetos PMO,5
269,Gerente De Impostos,5
277,Senior Account Manager,5
289,Content Manager,5
318,"Manager, Procurement and Sourcing",5
331,Key Account Manager (KAM),5
375,Senior Sourcing Manager,5
386,Accounting Manager,5
392,Editorial Operations Manager,5
409,Assistant Manager Finance,5
412,Training & Development Manager,5
419,Senior Site Manager,5
434,Associate Project Manager,5
447,Director of Product Management,5
453,Sr. Project Manager,5
464,IT Release Manager,5
469,Associate Manager,5
474,Risk Management,5
475,Programmatic Manager,5
476,Training Manager,5
492,Project Lead,5
503,Asset Management Specialist,5
515,Sr Director Product Management,5
540,Gerente De Produtos,5
562,"Director, Product Management",5
563,"Manager, Product Management",5
564,Senior Tax Manager,5
571,He Manager,5
573,Middle Management,5
580,"Senior Director, Product Management",5
596,Project Analyst,5
597,Relationship Manager,5
601,Key Account Manager,5
608,"Sr. Manager, Product Management",5
637,Service Integration and Management,5
647,"Senior Manager, Product Management",5
666,Change Management Consultant,5
669,Global Mobility Manager,5
671,Client Manager,5
682,Platform Manager,5
684,Assistant Manager Finance FP&amp;A,5
697,Professional Services Manager,5
714,Project Management,5
716,Commercial Manager,5
725,Gerente Comercial,5
737,Client Success Manager,5
741,Development Manager,5
749,Senior Project/Program Manager,5
750,Order Management & Billing Specialist,5
751,Client Engagement Manager,5
757,Senior Finance Manager,5
779,Applications Development Manager,5
788,Communications Manager,5
795,Case Management Analyst,5
817,Master Data Reporting & Project Support Analyst,5
831,Gerente De Finanzas,5
835,"Director, Marketing Management",5
840,"Senior Manager Deliver, FP&A",5
848,Strategic Relationship Manager,5
849,Resource Manager,5
850,Portfolio Manager,5
873,Client Services Manager,5
882,Associate Operations Manager,5
886,Project Coordinator,5
890,IT Operations Manager,5
892,Product Management,5
896,Operations Manager,5
899,Project Management Analyst,5
901,Assistant Content Manager,5
909,Program Manager,5
911,Order Management Specialist III,5
914,Data Account Manager,5
916,Associate Sourcing Manager,5
922,CMS Project Manager,5
961,Project/Change Management,5
976,Assistant Manager (DevOps),5
982,SDM Manager,5
991,Project Manager (PM),5
999,Project,5
1002,Assistant Project Officer,5
1003,Project Consultant,5
1011,Implementation Manager Team Leader,5
1014,Credit Manager,5
1023,Strategy Manager,5
1044,Incident Manager,5
1046,Webcast Manager,5
1050,Gerente De TI,5
1061,Territory Account Manager,5
1070,Gerente De Desenvolvimento De Sistemas,5
1091,Manager-Networoks,5
1101,Risk Intelligence Manager,5
1105,HYBRID Account Manager,5
1109,Assistant Security Manager (APAC),5
1132,"Director, Technical Account Management",5
1133,Assistant Account Manager,5
1149,"Director, Program Management",5
1158,Case Manager,5
1169,Manager - Datacenter Operations,5
1171,Compensation Manager,5
1201,Proposition Manager,5
1203,Order Management Administrator,5
1205,Gerente Financeiro,5
1212,FP&A Manager,5
1215,Development Manager and PMO Manager,5
1235,Deployment Manager,5
1253,Test Manager,5
1254,Account Management Coordinator,5
1258,Scrum Master/Development Manager,5
1281,Senior Client Manager,5
1300,Strategic Account Manager,5
1307,Applications Support Manager,5
1309,IT Manager,5
1313,Technical Project Manager,5
1314,Gerente De Contas,5
1316,Infrastructure Manager,5
1333,Lead Project Analyst,5
1335,Delivery Manager,5
1339,Order Management Senior Specialist,5
1350,IT Project Coordinator,5
1366,Client Relationship Manager,5
1369,Bid Manager,5
1370,Global Program Manager,5
1382,National Manager,5
1417,Content Service Manager,5
1419,"Manager, Client Management",5
1426,Supply Chain Manager,5
1430,Strategic senior sourcing manager,5
1443,Associate Project Lead,5
1450,Senior Manager%2C User Experience,5
1457,Campaign Planning and Management,5
1462,Project Manager Findlaw,5
1472,Manager Finance,5
1478,Senior Program Manager,5
1483,Senior Change Manager,5
1492,Global IT Manager,5
1498,Technology Project Manager,5
1500,Senior Campaign Manager,5
