,job_title,cluster
49,Research Scientist Intern,4
212,Intern,4
322,Intern Professional Services,4
405,Sales Representative Intern,4
526,Applied Research Intern,4
565,Intern Journalist,4
628,Finance Intern,4
687,Intern - Hourly,4
696,Employer Branding Intern,4
841,Inside Sales Intern,4
864,Sales Intern,4
949,Operational Intern,4
965,Data Science Intern,4
968,User Experience Intern,4
1006,Compliance Analyst Intern,4
1066,Editorial Intern,4
1170,Legal Intern,4
1209,Summer Intern,4
1416,Litigation Intern,4
1424,Media Solutions Intern,4
1425,Pricing Intern,4
1511,Big Data Intern,4
1549,Computer Science Intern,4
1563,Research Intern,4
1588,Deep Learning Research Intern,4
1611,Data Visualization Intern,4
1677,Newsroom Intern,4
1713,Financial Analyst Intern,4
1851,Legal Writing Intern,4
2113,User Experience Design Intern,4
2289,Content Specialist Intern,4
2790,Transfer Pricing Intern,4
2814,IT Intern,4
2842,Financial and Risk Intern,4
2942,Publishing Specialist Intern,4
2947,Tax & Accounting Intern,4
2990,Legal Associate Intern,4
