,job_title,cluster
102,Senior Director,6
144,Director,6
299,Marketing Director,6
317,Divisional Finance Director,6
340,Sales VP,6
393,Senior Design Director,6
395,Regional Sales Director,6
430,Account Director,6
444,Global Procurement Director,6
512,Head Of Operations,6
514,Vice President,6
537,Director Comercial,6
587,Associate Director,6
636,"Director, Finance",6
660,Client Director,6
691,Tax Director,6
712,Vice President Benefits,6
717,Head of Logistics,6
735,"Senior Director, Finance",6
780,Assistant Vice President,6
800,Sales Director,6
845,Finance Director,6
893,Senior Director Finance,6
1030,Senior Director Marketing,6
1034,Head User Experience Innovation,6
1042,"Vice President, Technology",6
1049,Regional Account Director,6
1067,Head of Analytics,6
1106,Strategy Director,6
1121,Global Marketing Director,6
1123,"Head of Strategic Marketing, Enterprise",6
1143,Publishing Director,6
1144,Director Operations,6
1148,Head of Client Specialist,6
1173,Head of Technology Development,6
1192,Vice President and Head of Government Relations,6
1234,Head of Picture Sales,6
1239,Director of Finance,6
1242,Vice President Organization Effectiveness,6
1278,Headline News Reporter,6
1279,"Senior Director, Statutory Reporting",6
1280,Regional Director,6
1294,Head of Professional Services,6
1302,Technical Director,6
1385,Head of Sales,6
1413,Senior Director Sales,6
1485,"Director, Research",6
1491,Head of Finance,6
1539,Director of Operations,6
1551,VP-Finance,6
1557,Director of Sales,6
1561,Senior Vice President,6
1569,Director of Sales Enablement,6
1574,Global Client Director,6
1581,Communication Director,6
1593,Director of Technology,6
1595,"Senior Vice President, Customer Success",6
1617,"Director, Digital Commerce Strategy",6
1641,Director of Information Technology,6
1669,Director PMO,6
1673,Director Sales,6
1686,"Director, IT",6
1711,Head of Global Benefits & Wellbeing,6
1751,Director of Strategy,6
1776,Department Head,6
1788,Art Director,6
1795,Deputy Director,6
1810,IT Director,6
1878,AVP-Operations,6
1892,Senior Sales Director,6
1916,"Director, Technology",6
1970,Senior Account Director,6
1999,Senior Director Technology,6
2021,Head of Programs,6
2141,Managing Director,6
2142,VVP/GM,6
2201,Head of Accounts,6
2202,Director de ventas internacionales,6
2211,IT Senior Director,6
2212,AVP-Analyst,6
2228,Operations Director,6
2235,Technology Director,6
2280,DIRECTOR FINANZAS,6
2284,Corporate Director,6
2293,Senior Director IT,6
2345,President,6
2376,Head of Legal Technology,6
2477,Director of Software Development,6
2478,Director of Government Relations,6
2491,International Sales Director,6
2509,Global Partner Director GGO,6
2539,Associate Marketing Director,6
2542,Assistant Sales Director,6
2545,Global Head of IP Solutions Technology,6
2604,Account Director/Sales,6
2614,Head of Sales UK,6
2615,Director Marketing,6
2618,Global Head of Marketing,6
2624,Vice President- Corporate Finance,6
2668,Vice President Finance,6
2690,"Senior Vice President, Head of Enterprise Solutions",6
2691,Vice President - Technology,6
2698,"Head of Learning Strategy and Operations, F&R",6
2710,Vice President Strategy,6
2722,Programmatic Sales Head,6
2747,Consulting Director,6
2780,"Vice President, Services",6
2786,Senor Director,6
2820,Vice President Marketing,6
2886,Vice President of Shared Service,6
2969,Global Head,6
3004,Creative Director,6
3010,Vice President Sales,6
3025,Vice President Technology,6
3030,Director and Senior Architect,6
3035,Director of North American Sales,6
3042, Vice President ,6
