,job_title,cluster
5,Contributor Relations Executive,1
9,Anonymous/Employee,1
13,Reference Attorney,1
16,SSE- Development,1
17,Conference Organizer,1
19,N A,1
21,Executive Assistant,1
24,Associate,1
26,Accountant,1
31,Enterprise Account Executive,1
34,Suporte técnico,1
36,Pasante De Derecho,1
37,Team Leader,1
41,Attorney Editor,1
47,Lead Data Scientist,1
51,Conference Producer,1
59,Team Lead,1
60,Journalist,1
61,Estágio Superior,1
69,CSII,1
71,Social Media Content Creator,1
76,PPC Strategist,1
78,Machine Learning,1
79,Digital Strategist,1
81,Editorial Associate,1
87,Desenvolvedor Pleno,1
89,Jovem Aprendiz,1
96,Freelance Writer,1
101,News Reporter,1
105,Pasante De Legales,1
111,Correspondent,1
117,Video Editor,1
119,Estagiário,1
120,Campaign Planner,1
122,International Tax,1
128,Estagiário De Tecnologia,1
129,Associate Editor,1
132,Contractor,1
140,Lead-Automation,1
153,Executivo de vendas Jr,1
180,Agente De Cobranza,1
182,Account Executive,1
183,Channel Enablement Coordinator,1
186,Associate Research Scientist,1
189,Auxiliar operações,1
195,Administrative Assistant,1
199,Writer,1
204,Paralegal,1
205,Chief Correspondent,1
210,Sub Editor,1
211,Auxiliar Editorial,1
216,Publisher II,1
234,Order Processor,1
235,Desenvolvedor Angular Pleno,1
241,Publishing Coordinator,1
259,Journalist/Reporter,1
261,Student Representative,1
267,Advisor,1
275,Especialista,1
280,Assistant Editor,1
281,Research Associate,1
282,News,1
284,Multimedia news producer,1
290,Lead Team Leader,1
292,Westlaw Representative,1
293,News Producer,1
294,Training Administrator,1
296,Representante De Atención Al Cliente,1
298,Desenvolvedor Júnior,1
303,Thomson Reuters (Tax and Accounting),1
306,Lawyer Associate,1
308,Reporter,1
312,Producer,1
313,Especialista En Sistemas,1
321,Especialista De Sistemas,1
323,Estagio em desenvolvimento,1
335,Contractor Program Security Officer (CPSO),1
337,Legal Editor,1
338,Video Producer,1
343,Comerciante Independiente,1
350,Agent,1
351,Legal Editorial Associate,1
355,Administration,1
357,Coordinator,1
365,Corrector De Estilo,1
366,Controllership,1
371,Content Writer,1
372,Editor,1
374,Associate Account Executive,1
377,Legal Officer,1
379,Gestor De Cobranza,1
380,Publisher,1
388,Employer Branding,1
389,Trainer,1
396,Multimedia Producer,1
402,Diretor,1
414,Videographer/Editor,1
422,Administrative,1
431,Publishing,1
433,Conference Organiser,1
442,Content Editor,1
449,Assistant Controller,1
454,Internship,1
461,TA Team Lead,1
463,Gainsight Administrator,1
468,Associate Client Executive,1
471,Review Executive,1
472,Client Associate,1
487,Data Steward,1
502,Directivo,1
506,Digital video production curator associate,1
507,Westlaw Student Representative,1
511,Ejecutivo De Cuenta,1
519,Trainee Correspondent,1
521,Desk Editor,1
522,Client Services,1
525,Content Associate,1
528,Attorney,1
538,Researcher,1
549,Estagiário De TI,1
552,McDonalds Crew Trainer,1
558,IT Support,1
566,Operador En Mesa De Ayuda,1
572,Social Media Editor,1
575,Reporter and Correspondent,1
577,SSC,1
590,Client Advisor,1
602,Ccs,1
613,Content Acquisition Associate,1
619,Strategy,1
621,Client Executive,1
627,Managing Editor,1
643,Account Executive - Small Law,1
644,Associate Attorney,1
657,CONTABLE,1
659,Account Mnaager,1
662,Anchor/Reporter,1
665,Copywriter,1
668,Partner,1
673,Staff Legal Writer,1
674,SQL-DBA,1
679,Classifier,1
680,Outbound Call Center Representative,1
681,Worst,1
698,Web Solutions,1
702,Digital Content Writer,1
708,Basic Crew Member,1
711,Blogger,1
719,Videographer,1
732,TV Producer,1
742,Divulgador Externo,1
744,Copy Editor,1
746,Researcher (Court Express),1
747,Contract Administrator,1
752,Summer MBA Finance and Strategy,1
759,ESTÁGIO,1
760,Spécialiste clientèle,1
764,PQE,1
771,Web Editor,1
772,Desarrollador De Nuevos Negocios,1
777,Research Supervisor,1
784,Account Executive - Reuters Solutions,1
786,Accountmanager,1
789,Entry Level,1
794,Legal Executive,1
796,Cog In the Machine,1
801,Service Lead,1
809,Lead,1
811,Summer Legal Editor,1
819,Digital Analytics,1
820,Supervisor,1
821,Supervisor/Coordenador,1
822,Estágio Em Arquitetura De TI,1
825,Pasante,1
827,Executive,1
828,Documents Reviewer,1
829,Salesforce Administrator,1
830,Divulgador,1
833,Document Review Attorney,1
837,Various,1
852,Ingénieur Étude Et Développement,1
854,Investigator,1
855,Server,1
856,Data Entry Clerk,1
857,Abogado De Relaciones Laborales,1
861,Digital Producer and Reporter,1
865,AMERICAS DESK EDITOR,1
877,Corporate Services Representative,1
878,Copy Writer,1
879,Desenvolvedor,1
884,BDE,1
888,Produtor E Redator,1
889,User Experience Researcher,1
895,Coordenador De Desenvolvimento,1
900,Assistente Comercial,1
905,Finance & Risk Employee,1
906,Data Conversion Operator,1
913,Desarrollador,1
917,Subject Matter Expert,1
925,Anonymous,1
927,Estagiário A,1
929,Process Excellence,1
931,Editorial Assistant,1
933,Secretário Executivo Bilíngue,1
935,Research Editor,1
938,Junior Negotiator,1
939,consultora,1
948,At MyPay Solutions,1
954,Recfruiter,1
957,Editor-in-chart,1
959,Operations,1
963,Network Team Lead,1
972,Process Associate,1
981,Research Assistant,1
983,Karnataka,1
987,Legal Associate,1
990,Derivatives Negotiator,1
995,CSE,1
1000,Legal,1
1004,Bolsista,1
1007,Finance,1
1010,Columnist,1
1012,Credit Controller,1
