,job_title,cluster
10,Consultant,12
106,Onboarding Consultant,12
143,Consultor De Implantação,12
177,Implementation Consultant,12
178,Solutions Consultant,12
188,Consultor customer success,12
191,Consultora Jurídica,12
314,Senior Consultant Implementation,12
327,Presales Consultant,12
333,Learning Consultant,12
345,Technical Operations Consultant,12
349,Senior ERP Consultant,12
381,Consultor Comercial,12
390,Client Development Consultant,12
509,Senior Consultant,12
530,Information Solutions Consultant,12
533,Lead Learning Consultant,12
604,Senior Applications Consultant,12
633,Senior Sales Consultant,12
635,Application Consultant,12
640,Senior Technical Consultant,12
664,Lead Consultant,12
692,Senior Solutions Consultant,12
756,QA Consultant,12
839,Consultor Senior,12
863,Senior Client Development Consultant,12
867,IT Consultant,12
904,Consultor,12
955,Legal Consultant,12
1015,"Consultant, QC",12
1026,Technical Consultant,12
1151,Consultor De Desenvolvimento De Software,12
1183,Training Consultant,12
1194,Senior Technical Solutions Consultant,12
1252,Associate Consultant,12
1257,Senior Analytics Consultant,12
1273,Sales Consultant,12
1284,Financial Consultant,12
1296,Strategic Consultant & Sales Director,12
1381,Professional Services Consultant,12
1393,Senior Marketing Consultant,12
1465,Senior Implementation Consultant,12
1466,Workday Integration Consultant,12
1502,Solutions Consultant Manager,12
1509,Principal Consultant,12
1522,Functional Consultant,12
1540,Senior Content Consultant,12
1572,Customer Service Consultant,12
1573,Solution Consultant,12
1575,SAP EWM Functional Consultant,12
1576,Senior Principal Consultant,12
1599,ITSM Consultant,12
1614,Law Firm Consultant,12
1689,Cloud Consultant,12
1753,Commercial Sales Consultant,12
1761,Consultor Semi Senior,12
1838,SAP Integration Consultant,12
1883,Consultor De Serviços,12
2051,Senior Solution Consultant,12
2055,Consultor Especialista,12
2059,Legal Solutions Consultant,12
2145,Tax Specialist Consultant,12
2168,Technology Consultant,12
2193,Senior Lead Consultant,12
2261,"Consultant, Telecommunications",12
2294,Consultor SSR,12
2296,Consultor Tribut&aacute;rio J&uacute;nior,12
2404,Consultor De Neg cios,12
2415,Consultor De Operacoes,12
2513,Inside Sales Consultant,12
2519,Learning And Development Consultant,12
2522,Senior Support Consultant,12
2547,Pre-Sales Consultant,12
2578,Inside Patent Workflow Consultant,12
2613,Corporate Counsel Sales Consultant,12
2648,Media Consultant,12
2663,Risk Consultant,12
2725,Software Consultant,12
2730,Support Consultant,12
2738,Consultor De Negócios,12
2753,"Research Consultant, Legal",12
2776,Foreign Trade Consultant,12
2812,Physician Consultant,12
2815,Analytic Consultant,12
3015,Tax Consultant,12
3016,Corporate Market Consultant,12
3049,Reuters Consultant,12
