,job_title,cluster
8,Analista De Testes Sênior,7
33,Senior Content Editor,7
52,Solution Architect,7
67,Senior Legal Content Editor,7
75,Senior Editor,7
85,Senior Account Executive,7
116,Analista De Suporte Sênior,7
136,Sr quality control specialist,7
152,Senior Data Scientist,7
160,Senior Database Administrator,7
164,Sr. Director,7
187,Senior Campaign Planner,7
202,Architect,7
203,"Sr. Manager, Operations",7
223,Consultor De Serviços Sênior,7
244,Gerente De Projetos (GP) Sênior,7
252,Analista De Requisitos Sênior,7
254,Sr. Technical Support Specialist,7
258,Senior Publicist,7
262,Senior News Producer,7
276,Senior Workforce Scheduler,7
283,Senior Associate,7
356,Desenvolvedor Sênior,7
363,Sr Sales Executive,7
369,Data Architect,7
400,Senior Middleware Administrator,7
443,"Sr Manager, Finance",7
470,Sr. Process Lead,7
473,Sr  Developer,7
482,Software Architect,7
494,"Senior Editor, Practical Law",7
501,Senior Producer,7
504,Senior Leader,7
516,Salesforce Solution Architect,7
542,"Sr Manager, Legal",7
546,Senior Compliance Officer,7
559,Senior Forecaster,7
593,Senior Database Administrator (DBA),7
595,Senior Applied Scientist,7
609,Sr. Scientist,7
618,Senior Producer/Editor,7
630,Senior Journalist,7
639,Senior Client Trainer,7
645,Senior Systems Architect,7
651,Senior Publishing Coordinator,7
653,Senior CopyWriter,7
658,Sr Database Administrator,7
670,Senior Finance Executive,7
703,Senior Process Associate,7
768,Senior Associate Attorney,7
802,Senior Attorney Editor,7
812,Senior Associate Editor,7
842,Senior User Experience Architect,7
847,Senior Enterprise Account Executive,7
859,Analista De Crédito E Cobrança Sênior,7
871,Senior Architect,7
875,Ejecutivo De Cuenta Semi Senior,7
921,Desenvolvedor De Softwares Sênior,7
924,Senior Account Representative,7
956,Solutions Architect,7
960,Senior Legal Editor,7
994,Senior NPE,7
1053,Analista Desenvolvedor Sênior,7
1058,DevOps Architect,7
1059,Senior Correspondent,7
1069,Gerente De Produtos Sênior,7
1096,Senior Sys,7
1110,Analista De Projetos Sênior,7
1140,Ejecutivo Senior,7
1141,Engenheiro De Sistemas Sênior,7
1146,Senior Content Analyanalyst,7
1224,Analista De Produtos Sênior,7
1228,Senior Evalutor,7
1270,Senior Tax Accountant,7
1286,Tax & Accounting Senior Communications Writer,7
1293,Senior Systems Integratoe,7
1331,Analista De Desenvolvimento Sênior,7
1332,Analista De Sistemas Sênior,7
1383,Principal Enterprise Architect,7
1384,Senior Planner,7
1396,Senior Coordinator,7
1431,Software Solutions Architect,7
1435,Senior Online Producer,7
1445,Senior Research Associate,7
1554,Senior Support Representative,7
1607,Senior Team Lead,7
1613,Senior Reporter,7
1640,Big Data Architect,7
1684,Senior PostgreSQL Administrator,7
1715,Senior Trainer,7
1723,Senior Account Services Representative,7
1740,Senior Administrative Assistant,7
1742,Desarrollador Front End Senior,7
1789,Associate Software Architect,7
1791,Senior Legal Associate,7
1801,Analista Financeiro Sênior,7
1809,Senior Copy Writer,7
1814,Analista De Qualidade Sênior,7
1821,Analista Tributário Sênior,7
1847,Sr Account Manager,7
1888,Associate Architect,7
1907,Assistente Executivo Sênior,7
1911,Senior Data Steward,7
1917,Analista Sênior Tributário,7
1929,Senior Accountant,7
1957,Analista Sênior,7
1962,Senior Cloud Security Architect,7
1967,Tax Senior Associate,7
1986,Sr. Technical Lead,7
1991,Senior Legal Writer,7
2018,Testador Sênior,7
2036,Senior User Experience Researcher,7
2049,Analista De Negócios Sênior,7
2053,Senior Editorial Assistant,7
2060,Senior Correspondent/Journalist,7
2084,Engenheiro De Software Sênior,7
2152,Senior Translator,7
2156,Senior Research Scientist,7
2163,Senior Inside Account Manafer,7
2167,Analista De Atendimento Sênior,7
2169,Senior Lawyer,7
2199,Senior Advisor,7
2205,Senior Treasury Administrator,7
2209,Ejecutivo Comercial Senior,7
2223,Sr Tech Recruiter,7
2236,Sr tax analyst,7
2238,Desenvolvedor De Sistemas Sênior,7
2264,Senior Writer,7
2310,Senior SRE,7
2358,Solutions Architect Associate,7
2380,Sr Developer,7
2400,Desarrollador Java Senior,7
2406,Correspondente Senior,7
2434,Senior Legal Counsel,7
2471,Analista De Qualidade De Software Sênior,7
2484,Senior Infrastructure Architect,7
2492,Network Architect,7
2548,Enterprise Architect,7
2562,Senior Executive - Operations,7
2583,Senior Financial Representative,7
2588,Senior Process Lead,7
2600,Analista De Suporte Técnico Sênior,7
2601,Senior Tax Associate,7
2605,Senior Book Editor,7
2607,Senior Credit Controller,7
2625,Senior Administrator,7
2638,IT Systems Architect,7
2642,Senior Information Architect,7
2700,Senior Performance Eng,7
2713,Senior,7
2732,Desenvolvedor De Software Sênior,7
2758,Senior Evaluator,7
2769,Senior Executive - Finance,7
2813,Senior -Executive,7
2818,Senior Associate to PMO,7
2826,Senior Solutions Architect,7
2831,Senior Executive,7
2851,Senior Applications Support,7
2910,Senior Training Executive,7
2923,Senior Client Trainer O,7
2966,Senior Web Producer,7
