,job_title,cluster
32,Credentialing Specialist,3
45,Associate Content Specialist,3
65,Content Specialist I,3
80,Implementation Specialist,3
90,Process Specialist,3
95,Client Engagement Specialist,3
98,Assistant Content Specialist,3
108,Sales Specialist,3
134,Content Specialist II,3
137,Content Specialist,3
151,Client Specialist,3
159,Communications Specialist,3
174,Senior Content Specialist,3
209,Digital Content Specialist,3
232,Publishing Specialist,3
352,Specialist,3
367,FX Specialist,3
373,PPC Specialist,3
404,Associate Publishing Specialist,3
407,Order Fulfillment Specialist,3
411,News Publishing Specialist,3
432,Entry Level Associate Content Specialist,3
435,Senior Implementation Specialist,3
438,Senior Publishing Specialist,3
448,Senior Financial Operations Specialist,3
455,Senior Document Specialist,3
462,Employer Branding Specialist,3
589,Renewals Specialist,3
623,EDiscovery Specialist,3
626,Renewal Specialist,3
661,CPE Specialist,3
739,Regulatory Reporting Specialist,3
778,Solutions Sales Specialist,3
785,Senior Payroll Specialist,3
792,Service Communications Specialist,3
808,He Specialist,3
846,Senior Sourcing Specialist,3
891,Learning Specialist,3
920,Compliance Specialist,3
970,Sector Specialist,3
1074,Documentation Specialist,3
1103,Strategic Sales Specialist,3
1119,Language Specialist,3
1176,Publishing Specialist II,3
1246,Client Relationship Specialist,3
1247,Learning And Development Specialist,3
1261,Contract Expatriate Tax Specialist,3
1263,Senior Structured Finance Specialist,3
1264,Oder Fulfillment Specialist III,3
1268,Collaboration and Community Specialist,3
1271,IT Specialist In TRM,3
1288,Senior Client Specialist,3
1327,Data Analysis Specialist,3
1329,IT Senior Specialist,3
1341,Client Success Specialist,3
1376,Data Specialist,3
1380,Senior Specialist,3
1386,Data Migration Specialist,3
1387,Payroll Implementation Specialist,3
1394,Migration Specialist,3
1398,Digital Sales Specialist,3
1409,TA Specialist,3
1418,Payroll Specialist,3
1461,Document Automation Specialist - IT,3
1475,Practical Law Sales Specialist,3
1486,Accounts Payable Specialist,3
1504,Financial Operations Senior Specialist,3
1505,Retention Specialist,3
1517,Training and Documentation Specialist,3
1544,Sales Support Specialist,3
1584,Sales Operations Specialist,3
1703,Web Content Specialist,3
1754,Computer and Graphics Specialist,3
1756,Agency Field Specialist,3
1766,Legal Specialist,3
1817,Key Account Specialist,3
1824,Senior Content Specialist II,3
1836,Government Renewal Specialist,3
1855,Data Managment Specialist,3
1875,Specialist Editor,3
1900,Lead Sales Operations Specialist,3
1956,Content Operations Specialist,3
1996,Senior Content Design & Development Specialist,3
2006,OMS Specialist,3
2030,Comms Specialist,3
2045,Solution Specialist,3
2065,Operation Specialist,3
2099,Onboarding Specialist,3
2108,Accounts Receivable Specialist,3
2109,People Analytics Specialist,3
2153,Workflow Specialist,3
2178,Global Employer Branding Specialist,3
2208,Order Processing Specialist,3
2214,Finance Ops Senior Specialist,3
2267,Lead Content Specialist,3
2298,Tax Specialist,3
2328,Client Development Specialist,3
2385,Training Specialist,3
2391,Live TV Specialist,3
2394,Travel Operations Specialist,3
2407,Sales Order Specialist,3
2428,Procurement Specialist,3
2475,Finance Specialist,3
2479,Senior Sales Process Specialist,3
2499,Editorial Support Specialist,3
2504,Senior Sales Specialist,3
2521,Specialist - FX/FI,3
2524,Telecommunications Specialist,3
2536,Ad Specialist,3
2540,Data Conversion Specialist,3
2543,Senior PPC Specialist,3
2564,Client Support Specialist,3
2572,Primary Content Specialist,3
2585,Desktop Specialist,3
2590,Global Payroll Specialist,3
2608,Financial Operations Specialist,3
2633,Media Specialist,3
2656,Associate Account Specialist,3
2729,Information Specialist,3
2743,Lead Sales Specialist,3
2773,Client Implementation Specialist,3
2791,Knowledge Network Specialist,3
2797,Info Specialist,3
2817,AR Collection Specialist,3
2821,Audit Specialist,3
2867,Client Service Specialist,3
2938,Senior Publisihing Specialist,3
2940,Commissions Specialist,3
2965,Service Communication Specialist,3
2978,Senior Training Specialist,3
2994,Financial Applications Specialist,3
2999,Client Trainer/Client Specialist,3
