,job_title,cluster
2,Talent Acquisition Specialist,13
6,Talent Acquisition Partner,13
29,VP Human Resources,13
38,Auxiliar De RH,13
121,HR Advisor,13
123,Asst. HR Manager,13
126,Human Resources,13
215,HR-Head,13
230,HR Coodinator,13
237,Regional HR,13
315,Sr HR Advisor,13
332,Intern HR & Recruiting,13
446,Data Analyst (HR),13
452,Analista De Recursos Humanos (RH),13
527,Talent Acquisition,13
529,Talent Acquisition Associate,13
654,"Director, Human Resources",13
677,Senior HR Manager,13
704,Vice President Human Resources,13
709,Human Resources Advisor,13
887,Human Resources Specialist,13
946,Senior Talent Acquisition Partner,13
1025,Human Resources Manager,13
1038,"Senior Director, Human Resources",13
1218,Talent Sourcing Manager - APAC,13
1274,Human Resource Advisor,13
1340,Human Resourecs,13
1410,Talent Acquisition Analyst,13
1421,Senior Talent Acquisition Specialist,13
1444,Human Resources Associate,13
1468,Senior Human Resources Consultant,13
1579,Human Resources Generalist,13
1639,Senior Human Resources Manager,13
1643,Talent Acquisition Sourcing,13
1667,Talent Sourcing Specialist,13
1674,Human Resources Consultant,13
1688,Human Resources Operations,13
1692,Senior Human Resources Advisor,13
1693,HRIS Analyst,13
1694,Senior Human Resources Solutions Delivery Analyst,13
1695,Talent Partner,13
1701,Human Resources Analyst,13
1710,HRBP,13
1820,Pasante De Recursos Humanos (RRHH),13
1828,Sr. Human Resources Manager,13
1840,Regional Director of Human Resources,13
1857,Talent Sourcing Partner,13
1912,HRBP Senior (HR Manager),13
1923,Analista De Recursos Humanos (RRHH),13
1928,Assistant Manager-HR,13
2025,HR Manager,13
2040,Talent Acquisition Coordinator,13
2090,HRIS Director,13
2092,Associate Talent Acquisition,13
2117,Talent Acquisition Contractor,13
2118,Director of HRD,13
2131,Senior Human Resources Associate,13
2157,Senior HRBP,13
2180,Recursos Humanos,13
2277,Especialista Em RH E Projetos,13
2303,Human Resources Officer,13
2325,Analista De RH,13
2364,Human Resources Administrator,13
2419,Generalista De Recursos Humanos RRHH,13
2423,HR Operations Analyst,13
2435,HR/Operations Manager,13
2448,Jefe De Recursos Humanos RRHH,13
2449,Director-HR,13
2455,Gerente De Recursos Humanos,13
2458,Gerente RH,13
2632,Talent Acquisitions Coordinator,13
2800,"Vice President, Human Resources",13
2958,Administrator Strategic Talent,13
2963,Human Resource,13
2991,Strategic Talent Associate,13
3047, Human Resources ,13
